"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Barcelona Regional Agència Metropolitana de Desenvolupament Urbanístic i d'Infraestructures, S.A.","","","No","1994","1998","","","Aprovats per la Junta General | Incorpora les modificacions acordades per les Juntes Generals de 30-04-1997 i 30-06-1998","Substituïts pels Estatuts de l'any 2012 [http://hdl.handle.net/11703/88532]","","","","application/pdf","11 p.","application/pdf","17596","","","societats mercantils","http://hdl.handle.net/11703/88531","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/88532","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona Regional, Agència Metropolitana de Desenvolupament Urbanístic i Infraestructures, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Regional Agència Metropolitana de Desenvolupament Urbanístic i d'Infraestructures, S.A. | Barcelona Regional Agència Metropolitana de Desenvolupament Urbanístic i d'Infraestructures, S.A. | Barcelona Regional Agència Metropolitana de Desenvolupament Urbanístic i d'Infraestructures, S.A.","Sector públic","estatuts | documents digitalitzats","","Estatuts de Barcelona Regional, Agència Metropolitana de Desenvolupament Urbanístic i d'Infraestructures, S.A. [1994 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Navegació Oceànica Barcelona","","","Si","2015-02-17","2015","","","Aprovat pel Patronat de la Fundació el 17-02-2015 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/86747","","Substitueix els Estatuts de la Fundació Navegació Oceànica Barcelona [2009 text no oficial] [http://hdl.handle.net/11703/84188]","","","application/pdf","21 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106218","cat","","http://hdl.handle.net/11703/86747","","","","","","","http://hdl.handle.net/11703/84188","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Navegació Oceànica Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Navegació Oceànica Barcelona | Fundació Navegació Oceànica Barcelona | Fundació Navegació Oceànica Barcelona","Sector públic","estatuts","","Estatuts de la Fundació Navegació Oceànica Barcelona [2015 text no oficial]","","text","info:eu-repo/semantics/other",""
"Xarxa Formació Professional","","","Si","1999-06-18","1999","","","Aprovats el 18-06-1999","","","","","application/pdf","15 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106408","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Xarxa Formació Professional","http://creativecommons.org/licenses/by/4.0/deed.ca","Xarxa Formació Professional | Xarxa Formació Professional | Xarxa Formació Professional","Sector públic","estatuts | documents digitalitzats","","Estatuts de XARXA Formació Professional [1999 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Agència de Promoció del Carmel i Entorns (Barcelona)","","","Si","2005-06-17","2005-07-07","","","Aprovats pel Plenari del Consell Municipal de 17-06-2005 | Anunci al Diari Oficial de la Generalitat de Catalunya 4435 (22-07-2005) | Podeu consultar-ne una altra versió a:  http://hdl.handle.net/11703/106430","","","","","application/pdf","6 p.","application/pdf","5803","","Butlletí Oficial de la Província de Barcelona, núm.161, Annex II (07-07-2005)","societats mercantils","http://hdl.handle.net/11703/89166","cat","","http://hdl.handle.net/11703/106430","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Agència de Promoció del Carmel i Entorns (Barcelona) | Agència de Promoció del Carmel i Entorns (Barcelona) | Agència de Promoció del Carmel i Entorns (Barcelona)","Sector públic","estatuts","","Estatuts Socials de l'Agència de Promoció del Carmel i Entorns, SA [2005]","","text","info:eu-repo/semantics/other",""
"Consorci Centre de Recursos Internacional per la Pau de Barcelona","","","Si","2009-06-06","2009-07-04","","","Aprovats pel Plenari del Consell Municipal de 06-06-2009","","","","","application/pdf","4 p.","application/pdf","5600","","Butlletí Oficial de la Província de Barcelona, núm. 159 (04-07-2009) | Anunci al Diari Oficial de la Generalitat de Catalunya 5421 (15-07-2009)","consorcis","http://hdl.handle.net/11703/89177","cat","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Centre de Recursos Internacional per la Pau de Barcelona | Consorci Centre de Recursos Internacional per la Pau de Barcelona | Consorci Centre de Recursos Internacional per la Pau de Barcelona","Sector públic","estatuts","","Estatuts del Consorci Centre de Recursos Internacional per la Pau de Barcelona [2009]","","text","info:eu-repo/semantics/other",""
"Túnels i Accessos de Barcelona, S.A.C.","","","No","1992-02-26","1992","","","Aprovats per la Junta General Extraordinària de 26-02-1992 | Acta notarial, 26 de febrer de 1992, dóna fe el notari Don Antonio Clavera Esteva","Modificat per acord de Govern de la Generalitat de 01-04-2008 [http://hdl.handle.net/11703/88667]","","","","application/pdf","12 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106563","cat","","","","","Reproducció digital del document en suport original","","","","","http://hdl.handle.net/11703/88667","CC-BY","info:eu-repo/semantics/openAccess","","Túnels i Accessos de Barcelona, S.A.C.","http://creativecommons.org/licenses/by/4.0/deed.ca","Túnels i Accessos de Barcelona, S.A.C. | Túnels i Accessos de Barcelona, S.A.C. | Túnels i Accessos de Barcelona, S.A.C.","Sector públic","estatuts | documents digitalitzats","","Estatuts de Túnels i Accessos de Barcelona, S.A.C. [1992 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB)","","","Si","2014-05-08","2014","","","Acta notarial, 8 de maig de 2014, dóna fe el notari Don Ricardo Ferrer Marsal","","Substitueix els Estatuts de la Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB) [2002 text no oficial] [http://hdl.handle.net/11703/88605]","","","application/pdf","15 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106320","cat","","","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/88605","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB)","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB) | Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB) | Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB)","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB) [2014 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci de l'Auditori i l'Orquestra","","","Si","2015-03-27","2015","","","Aprovats pel Plenari del Consell Municipal de 27-03-2015 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/88553","","Substitueix els Estatuts del Consorci de l'Auditori i l'Orquestra [2014 text no oficial] [http://hdl.handle.net/11703/106570]","","","application/pdf","13 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106571","cat","","http://hdl.handle.net/11703/88553","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/106570","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci de l'Auditori i l'Orquestra","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de l'Auditori i l'Orquestra | Consorci de l'Auditori i l'Orquestra | Consorci de l'Auditori i l'Orquestra","Sector públic","estatuts | documents digitalitzats","","Estatuts del Consorci de l'Auditori i l'Orquestra [2015 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Casa Àsia","","","No","2001-10-23","2001","","","Aprovats el 23-10-2001","Substituït pels Estatutos de la Casa Asia [2002 texto no oficial] [http://hdl.handle.net/11703/106197]","","","","application/pdf","20 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106417","spa","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106197","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci Casa Àsia","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Casa Àsia | Consorci Casa Àsia | Consorci Casa Àsia","Sector públic","estatuts | documents digitalitzats","","Estatutos de la Casa Asia [2001 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Institut Ramon Llull","","","","2015-08-04","2015-08-06","","2015-08-07","Aprovats per acord de govern de la Generalitat de 04-08-2015 | Ratificats pel Consell Plenari de 27-01-2016","","Modifica els Estatuts de l'Institut Ramon Llull [2014] [http://hdl.handle.net/11703/88581]","","","application/pdf","2 documents","application/pdf","","","Diari Oficial de la Generalitat de Catalunya, núm. 6929 (06-08-2015)","consorcis","http://hdl.handle.net/11703/106100","cat","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/88581","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Institut Ramon Llull | Consorci Institut Ramon Llull | Consorci Institut Ramon Llull","Sector públic","estatuts | documents digitalitzats | acords","","Estatuts de l'Institut Ramon Llull [2014] : modificació [2015-08-04]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Catalana d'Iniciatives, S.C.R., S.A.","","","Si","2009-07-06","2009","","","Aprovats el 06-07-2009","","","","","application/pdf","13 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106448","spa","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Catalana d'Iniciatives, S.C.R., S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Catalana d'Iniciatives, S.C.R., S.A. | Catalana d'Iniciatives, S.C.R., S.A. | Catalana d'Iniciatives, S.C.R., S.A.","Sector públic","estatuts","","Estatutos de Catalana d'Iniciatives, S.C.R., S.A. [2009 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci 3a Edició de la Barcelona World Race","","","Si","2013-05-31","2013-07-02","","","Aprovada pel Plenari del Consell Municipal de 31-05-2013 | Text original aprovat pel Plenari del Consell Municipal de 26-10-2012","","Modifiquen els Estatuts del Consorci 3a Edició de la Barcelona World Race [2012] [http://hdl.handle.net/11703/88539]","","","application/pdf","3 p.","application/pdf","11537","","Butlletí Oficial de la Província de Barcelona (02-07-2013)","consorcis","http://hdl.handle.net/11703/88540","cat","","","","","","","","http://hdl.handle.net/11703/88539","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci 3a Edició de la Barcelona World Race | Consorci 3a Edició de la Barcelona World Race | Consorci 3a Edició de la Barcelona World Race","Sector públic","estatuts","","Estatuts del Consorci 3a Edició de la Barcelona World Race [2012] : modificació [2013-05-31]","","text","info:eu-repo/semantics/other",""
"Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch","","","Si","2015-12-29","2015","","","Aprovats pel Plenari del Consell Municipal de 29-12-2015 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/106108","","","","","application/pdf","11 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106127","cat","","http://hdl.handle.net/11703/106108","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch | Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch | Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch","Sector públic","estatuts | documents digitalitzats","","Estatuts del Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch [2015 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","","No","1963-04-06","1964","","","Aprovat pel Plenari del Consell Municipal de 06-04-1963","Modificats art. 5-6 pel Plenari del Consell Municipal de 13-02-1964 [GM núm. 3 (03-03-1964), p. 9 ] | Modificat art. 33 pel Plenari del Consell Municipal de 27-07-1983 [GM núm 28 (10-10-1983), .p. 565] | Substituïts en tots el drets i obligacions pel Estatuts del Patronat Municipal de l'Habitatge [GM núm 28 (10-10-1983), p. 565]","","","","application/pdf","9 p.","application/pdf","","","Patronato de viviendas para funcionarios del Ayuntamiento de Barcelona. Estatutos del Patronato de viviendas para funcionarios del Ayuntamiento de Barcelona. A: Viviendas: boletín informativo del Patronato Municipal de la Vivienda de Barcelona.Barcelona: Patronato Municipal de la Vivienda de Barcelona, 1964. Núm 11, p. 2-10. ISSN 0042-756X","","http://hdl.handle.net/11703/106265","spa","","","","http://hdl.handle.net/11703/106266","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Patronato de Viviendas para funcionarios del Ayuntamiento de Barcelona | Patronato de Viviendas para funcionarios del Ayuntamiento de Barcelona | Patronato de Viviendas para funcionarios del Ayuntamiento de Barcelona","Legislació i justícia | Sector públic","estatuts | documents digitalitzats","","Estatutos del Patronato de Viviendas para funcionarios del Ayuntamiento de Barcelona [1963]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
