"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Tancada","Sector de Serveis Personals. Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","2006","No","2007","2007","","","","","application/pdf","","SSPPD2006_GR","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89558","cat","Districte 6. Gràcia","","","","","","","","","","","","","CC-BY","openAccess","Districte 6. Gràcia","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 6. Gràcia","Sector públic","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Turisme de Barcelona","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","18564","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/88074","cat","Turisme de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Turisme de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme de Barcelona","Turisme","memòries","","Memòria 2010","","text",""
"Anual","","Arxiu Municipal de Barcelona","","Barcelona. Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","2016","Si","2017","2017","","","","","application/pdf","125 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/105232","cat","","","","","","","","","","","","","","CC-BY (text) - Tots els drets reservats (fotografies)","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Municipal de Barcelona. Arxius","Sector públic","memòries","","Memòria 2016","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","1992","No","1993","1993","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89447","","","application/pdf","","2161","","consells","Mandat 1991-1995","http://hdl.handle.net/11703/89446","cas","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/89447","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memoria 1992","","text",""
"Anual","Obert","Fundació Privada Antoni Tàpies","","Barcelona","2010","Si","2011","2011","","","","","application/pdf","38 p.","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/106615","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Privada Antoni Tàpies","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Antoni Tàpies. Art","Cultura i oci","memòries","","Memòria d'activitats 2010","","text",""
"Anual","Oberta","Tractament i Selecció de Residus, S.A. (TERSA)","","Barcelona","2008","No","2009","2009","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87883","","","application/pdf","","3344","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87865","cat","Tractament i Selecció de Residus (Barcelona)","http://hdl.handle.net/11703/87883","","","","","","","","","","","http://hdl.handle.net/11703/87864. http://hdl.handle.net/11703/87863","CC-BY","openAccess","Tractament i Selecció de Residus, S.A. (TERSA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Tractament i Selecció de Residus, S.A. (TERSA). Reciclatge (Residus, etc.)","Medi ambient","memòries","","Memòria 2008","","text",""
"Anual","Oberta","Institut de Cultura de Barcelona","","Barcelona","2012","No","2013","2013","","","","","application/pdf","","11610","","entitats públiques empresarials","Mandat 2011-2015","http://hdl.handle.net/11703/88057","cat. cas. eng","Institut de Cultura de Barcelona","","","","","","","","http://hdl.handle.net/11703/97444","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona. Cultura","Cultura i oci","memòries","","Barcelona Cultura: balanç 2012 [versió en català, castellà i anglès]","","text",""
"Anual","Tancada","ProEixample, S.A.","","Barcelona. Districte 2. Eixample","2007","No","2008","2008","","","","","application/pdf","","2558","","entitats públiques empresarials","Mandat 2003-2007","http://hdl.handle.net/11703/89594","cat","Proeixample, S.A.","","","","","","","","","","","","","CC-BY","openAccess","Proeixample, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","ProEixample, S.A.","Urbanisme i infraestructures. Habitatge","memòries","","Informe anual 2007","","text",""
"Anual","Obert","Fundació Privada I2CAT Internet i Innovació Digital a Catalunya","","Barcelona","2009","Si","2010","2010","","","","","application/pdf","72 p.","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/106607","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Privada I2CAT Internet i Innovació Digital a Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada I2CAT Internet i Innovació Digital a Catalunya. Internet. Innovacions tecnològiques","Ciència i tecnologia","memòries","","Memòria 2009","","text",""
"Anual","Oberta","Tractament i Selecció de Residus, S.A. (TERSA)","","Barcelona","2009","No","2010","2010","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87886","","","application/pdf","","6406","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87868","cat","Tractament i Selecció de Residus (Barcelona)","http://hdl.handle.net/11703/87886","","","","","","","","","","","http://hdl.handle.net/11703/87867. http://hdl.handle.net/11703/87866","CC-BY","openAccess","Tractament i Selecció de Residus, S.A. (TERSA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Tractament i Selecció de Residus, S.A. (TERSA). Reciclatge (Residus, etc.)","Medi ambient","memòries","","Memòria 2009","","text",""
"Anual","Obert","Fundació Factor Humà","","Barcelona","2011","No","2012","2012","","","","","application/pdf","7 p.","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/106613","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Factor Humà","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Factor Humà. Recursos humans","Societat i benestar. Ocupació","memòries","","Memòria 2011","","text",""
"Anual","Oberta","Centre de Cultura Contemporània de Barcelona","","Barcelona","2000. 2001","No","2002","2002","","","","","application/pdf","","5769","","","Mandat 1999-2003","http://hdl.handle.net/11703/87743","cat","Centre de Cultura Contemporània de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Centre de Cultura Contemporània de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Cultura Contemporània de Barcelona. Cultura","Cultura i oci","memòries","","Memòria 2000-2001","","text",""
"Anual","Oberta","Arxiu Històric de la Ciutat de Barcelona","","Barcelona","2008","No","2008","2008","","","","","application/pdf","40 p.","8677","","","Mandat 2007-2011","http://hdl.handle.net/11703/87436","cat","Arxiu Històric de la Ciutat de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Històric de la Ciutat de Barcelona. Arxius municipals","Cultura i oci","memòries","","Memòria 2008","","text",""
"Anual","Obert","Fundació Barcelona Cultura","","Barcelona","2015","Si","2016-02","2016","","","","","application/pdf","8 p.","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/106603","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Barcelona Cultura","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Cultura. Cultura catalana","Cultura i oci","memòries","","Memòria 2015","","text",""
"Anual","Oberta","Consorci de la Zona Franca de Barcelona","","Barcelona","2010","No","2011","2011","","Podeu consultar la versión en català/castellà a: http://hdl.handle.net/11703/87666","","","application/pdf","","18570","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/88118","eng. fre","Consorci de la Zona Franca de Barcelona","http://hdl.handle.net/11703/87666","","","","","","","","","","","","CC-BY","openAccess","Consorci de la Zona Franca de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de la Zona Franca de Barcelona. Empreses. Desenvolupament econòmic. Finances","Indústria","memòries","","Annual report = Mémoire annuel  2010","","text",""
"Anual","Tancada","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts","2007","No","2008","2008","","","","","application/pdf","","dis4_2007","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89551","cat","Districte 4. Les Corts","","","","","","","","","","","","","CC-BY","openAccess","Districte 4. Les Corts","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 4. Les Corts","Sector públic","memòries","","Informe de gestió 2007","","text",""
"Anual","","Arxiu Municipal de Barcelona","","Barcelona. Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","2013","No","2014-07-30","2014","","","","","application/pdf","123 p.","16365","","","Mandat 2011-2015","http://hdl.handle.net/11703/87451","cat","Arxiu Municipal de Barcelona","","","","","","","","","","","","","CC-BY (text) - Tots els drets reservats (fotografies)","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Municipal de Barcelona. Arxius","Sector públic","memòries","","Memòria 2013","","text",""
"Anual","Obert","Associació de Gestors de Polítiques d'Habitatge Social de Catalunya","","Barcelona","2015","Si","2016","2016","","","","","application/pdf","24 p.","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/106478","cat","","","","","","","","","","","","","","CC-BY","openAccess","Associació de Gestors de Polítiques d'Habitatge Social de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Associació de Gestors de Polítiques d'Habitatge Social de Catalunya. Habitatge públic. Dret a l'habitatge","Habitatge","memòries. documents digitalitzats","","Memòria d'activitats 2015","","text",""
"Desconeguda","Oberta","Observatori de l'Energia de Barcelona","","Barcelona","1999. 2003","No","2005","2005-11","","","","","application/pdf","","4195","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/87805","cat","Agència d'Energia de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Observatori de l'Energia de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Observatori de l'Energia de Barcelona. Estalvi d'energia","Medi ambient","memòries","","Balanç 1999-2003","","text",""
"Anual","Oberta","Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","7556","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/88061","cat","Institut Municipal de Persones amb Discapacitat (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal de Persones amb Discapacitat (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal de Persones amb Discapacitat (Barcelona). Discapacitats. Discapacitats mentals","Societat i benestar","memòries","","Memòria 2009","","text",""
"Anual","Oberta","Consell Econòmic i Social de Barcelona","","Barcelona","2009","No","2010","2010","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87527","","","application/pdf","","6779","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87526","cas","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/87527","","","","","","","","","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Econòmic i Social de Barcelona. Economia. Finances","Economia","memòries","","Memoria socioeconómica de Barcelona 2009","","text",""
"Anual","Oberta","Àrea d'Acció Social i Ciutadania. Associació Barcelona per l'Acció Social","","Barcelona","2006. 2007","No","2007","2007","","","","","application/pdf","22 p.","3009","","","Mandat 2007-2011","http://hdl.handle.net/11703/91524","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","Pla Municipal per a la Inclusió Social 2005-2010 (Barcelona)","Memòria d'activitats i línies de treball 2006/2007","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","1999","No","2000","2000","","","","","application/pdf","","3325","","consorcis","Mandat 1995-1999","http://hdl.handle.net/11703/87645","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria d 'activitats 1999","","text",""
"Anual","Oberta","Pla Estratègic Barcelona 2000. Associació","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","10425","","","Mandat 2007-2011","http://hdl.handle.net/11703/87553","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pla Estratègic Barcelona 2000. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Barcelona 2000. Associació. Finances","Economia","memòries","Pla Estratègic Barcelona 2000","Memòria estratègica de l'associació Pla Estratègic Metropolità de Barcelona 2011","","text",""
"Anual","Tancada","Direcció del Programa de Dona. Districte 2. Eixample","","Barcelona","2013","No","2014","2014","","","","","application/pdf","32 p.","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/97805","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció del Programa de Dona. Violència envers les dones","Societat i benestar","memòries","","Punt d'informació i atenció a les dones de l'Eixample : Memòria 2013","","text",""
