"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Institut Municipal d'Informàtica (Barcelona)","","Barcelona","2015. 2016. 2017. 2018. 2019","Si","2016","2016-07-05","","","","","","application/pdf","16 p.","","","","organismes autònoms","Mandat 2015-","http://hdl.handle.net/11703/97766","cat","","http://hdl.handle.net/11703/97768","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Informàtica. Innovacions tecnològiques. Transformació digital. Digitalització","Ciència i tecnologia","plans estratègics","Pla de Transformació Digital de l'Ajuntament de Barcelona (2015-2019)","Pla de transformació digital de l'Ajuntament : [versió presentació]","IMI Full de ruta pla de transformació digital (mandat 2015-2019)","text",""
"","Ajuntament de Barcelona","","Barcelona","2010. 2011. 2012. 2013","","2010","2010","","Aprovat pel Plenari del Consell Municipal el 23-07-2010. Publicat també a: Gaseta Municipal de Barcelona, núm. 27 (05-10-2010)","","","","application/pdf","45 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84979","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica. Política fiscal","Economia","plans estratègics","Pla Econòmic i Financer 2010-2013 (Barcelona)","Revisió del Pla Econòmic i Financer consolidat : 2010-2013 de l'Ajuntament de Barcelona","","text",""
"","Institut de Cultura de Barcelona","","Barcelona","1999. 2000. 2001. 2002. 2003. 2004","","1998","1999","","","","","","application/pdf","40 p.","","","","organismes autònoms","Mandat 1999-2003","http://hdl.handle.net/11703/84925","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura catalana","Cultura i oci","plans estratègics","Pla Estratègic del Sector Cultural de Barcelona 1999","Pla Estratègic del Sector Cultural de Barcelona","","text",""
"","Consorci d'Educació de Barcelona. Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona. Districte 3. Sants-Montjuïc","2014. 2015. 2016","","2015","2015","","","","","","application/pdf","32 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85154","cat","Consorci d'Educació de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Consorci d'Educació de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rendiment escolar. Educació. Fracàs escolar","Educació","plans estratègics","Pla d'Educació per a l'èxit escolar 2014-2016 Sants-Montjuïc (Barcelona)","Pla d'educació per a l'èxit escolar 2014-2016 : Sants-Montjuïc","","text",""
"","Consorci de Biblioteques de Barcelona","","Barcelona","2008","","2007-12-18","2008","","","","","","application/pdf","20 p.","","CBB_PA_2008","","","Mandat 1999-2003","http://hdl.handle.net/11703/86380","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteques","Cultura i oci","plans estratègics","Pla de Biblioteques 1998-2010 (Barcelona)","Pla d'acció 2008 : Biblioteques de Barcelona","Pla d'actuació 2008. Pla Acció 2008","text",""
"","Direcció Operativa de Turisme i Esdeveniments. Gerència d'Empresa i Turisme. Arias Sans, Albert. Font Ferrer, Tonet. Moll de Alba Cabot, Jorge Eduardo. Pedret, Aina. Suñol Ferrer, Xavier","","Barcelona","2017. 2018. 2019. 2020","","2017","2017-03","","","Pla estratègic de turisme de la ciutat de Barcelona per els anys 2017 a 2020.  S'inclouen 5 àmbits: Governança, Gestió Turística, Estratègia territorial, Treball i empresa i Promoció i màrqueting, que agrupen 80 reptes estratègics.  Es defineixen 10 programes estratègics que detallen 30 línies i 100 mesures d’actuació","","","application/pdf","144 p.","","","","","Mandat 2015-. Mandat 2015-","http://hdl.handle.net/11703/108052","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme sostenible. Política turística","Turisme","plans estratègics","Pla Estratègic de Turisme de la Ciutat de Barcelona 2016-2020","Turisme 2020 Barcelona : una estratègia col·lectiva per un turisme sostenible","","text",""
"","Institut de Cultura de Barcelona","Manén Calvet, Mireia. Giner Camprubí, Carles. Martí Grau, Jordi","Barcelona","2006","","2006","2006","","","","","","application/pdf","102 p.","","","","organismes autònoms","Mandat 2003-2007","http://hdl.handle.net/11703/84953","cat","","http://hdl.handle.net/11703/84954","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura catalana","Cultura i oci","plans estratègics","Pla Estratègic de Cultura de Barcelona. Nous Accents 2006","Nous accents 2006 : Pla Estratègic de Cultura de Barcelona","","text",""
"","Sector de Serveis Personals. Projecte Educatiu de Ciutat (Barcelona)","","Barcelona","2008. 2009. 2010. 2011","","2007","2007","","Document aprovat en el Consell Plenari de 13-03-2007.","","","","application/pdf","16 p.","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/85052","cat","Institut d'Educació de l'Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació. Política educativa","Educació. Societat i benestar","plans estratègics","Projecte Educatiu de Ciutat (Barcelona)","Plenari del PEC de Barcelona : el compromís ciutadà per una educació al servei de la cohesió social","","text",""
"","Consorci de Biblioteques de Barcelona","","Barcelona","2005","","2005","2005","","","","","","application/pdf","50 p.","","CBB_PA_2005","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/86383","cat","","","","","","","","","","","","","CC-BY","openAccess","","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteques","Cultura i oci","plans estratègics","Pla de Biblioteques 1998-2010 (Barcelona)","Pla d'acció 2005 : Biblioteques de Barcelona","Pla d'actuació 2005","text",""
"","Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2008. 2009. 2010. 2011","","2008","2008","","","","","","application/pdf","32 p.","","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/102226","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Mobilitat urbana. Seguretat ciutadana. Equipaments col·lectius. Espais públics","Sector públic","plans estratègics","Programa d'Actuació del Districte de Sarrià-Sant Gervasi (PAD) 2008-2011 (Barcelona)","Pla d'Actuació del Districte 2008-2011: Sarrià-Sant Gervasi: proposta","","text",""
"","Sector d'Urbanisme","","Barcelona","2004. 2005. 2006. 2007. 2008. 2009. 2010","","2004-07-21","2004","","Presentada al Plenari del Consell Municipal de 21-07-2004. Citada a la Gaseta Municipal núm. 31 (20-11-2004)","","","","application/pdf","Paginació múltiple","13494. 13498. 13501","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84559","cat","Ajuntament de Barcelona","","","","","","","","","","","http://hdl.handle.net/11703/86271","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge","Habitatge","mesures de govern. plans estratègics","Pla d'Habitatge de Barcelona 2004-2010","Pla d'Habitatge de Barcelona, 2004-2010 : mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2014. 2015. 2016. 2017","","2014-10-03","2014","","Presentada al Plenari del Consell Municipal de 03-10-2014. Citada a la Gaseta Municipal núm. 30 (10-11-2014)","","","","application/pdf","29 p.","18392","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84829","cat","Ajuntament de Barcelona","","","","","http://hdl.handle.net/11703/101779","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Treball social amb les persones grans. Solitud. Tecnologia de la informació. Internet i persones grans","Societat i benestar","mesures de govern. plans estratègics","Projecte Vincles BCN 2014-2017","Projecte VINCLES BCN : mesura de govern","","text",""
"","Associació Barcelona per l'Acció Social. Àrea d'Acció Social i Ciutadania","","Barcelona","2008","","2008","2008","","","","","","application/pdf","46 p.","MEASB_F","","","associacions","Mandat 2007-2011","http://hdl.handle.net/11703/96392","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Assistència social. Benestar social","Societat i benestar","plans estratègics","Marc Estratègic per a l'Acció Social a la Ciutat de Barcelona 2008-","El Marc estratègic per a l'acció social de la ciutat de Barcelona: 1. Fets i conseqüències per a l'acció social","","text",""
"","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","2016. 2017. 2018. 2019","","2016-12-01","2017","","Presentada al Consell Plenari del Districte de Ciutat Vella de 01-12-2016","","","","application/pdf","1 document (2 fitxers)","","","","districtes","Mandat 2015-","http://hdl.handle.net/11703/108063","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública","Sector públic","mesures de govern. plans estratègics","Programa d'Actuació del Districte de Ciutat Vella (PAD) 2016-2019 (Barcelona). Programa d'Actuació Municipal (PAM) 2016-2019 (Barcelona)","Actuacions Ciutat Vella 2016-2019 : mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Acord Ciutadà per una Barcelona Inclusiva","","Barcelona","2012. 2013. 2014. 2015","","2014","2014","","Podeu consultar  el resum executiu a: http://hdl.handle.net/11703/86342","","","","application/pdf","100 p.","18473","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86341","cat","","http://hdl.handle.net/11703/86342","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social. Ciutats","Sector públic. Societat i benestar","plans estratègics","Pla per a la Inclusió Social de Barcelona 2012-2015","Estratègia compartida per una ciutat més inclusiva : Barcelona enforteix la seva capacitat de resposta per fer front a la crisi social","","text",""
"","Consorci de Biblioteques de Barcelona","","Barcelona","2007","","2006-12","2007","","Aprovat al Consell General del Consorci de desembre de 2006","","","","application/pdf","58 p.","","CBB_PA_2007","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/86381","cat","","","","","","","","","","","","","CC-BY","openAccess","","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteques","Cultura i oci","plans estratègics","Pla de Biblioteques 1998-2010 (Barcelona)","Pla d'acció 2007 : Biblioteques de Barcelona","Pla d'actuació 2007","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Regidoria de Dona i Igualtat d'Oportunitats","","Barcelona","2015. 2016. 2017. 2018. 2019","","2015-03-27","2015","","Aprovat per acord del Plenari el 27 de març de 2015","","","","application/pdf","227 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85166","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat entre els sexes. Política laboral","Societat i benestar","plans estratègics","Pla d'Igualtat d'Oportunitats entre Homes i Dones de l'Ajuntament de Barcelona 2015-2019","II Pla d'Igualtat d'Oportunitats entre Homes i Dones de l'Ajuntament de Barcelona","Segon Pla d'Igualtat d'Oportunitats entre Homes i Dones de l'Ajuntament de Barcelona","text",""
"","Àrea de Drets Socials. Generalitat de Catalunya. Departament de Salut. Consorci Sanitari de Barcelona. Agència de Salut Pública de Barcelona","","Barcelona","2016. 2017. 2018. 2019. 2020. 2021. 2022","","2016-07","2016-07","","","","","","application/pdf","70 p.","","","Citada a la Gaseta Municipal núm. 29 (10-11-2016). p. 6159-6163","","Mandat 2015-","http://hdl.handle.net/11703/97864","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut mental. Política sanitària","Salut","plans estratègics","Pla de Salut Mental de Barcelona 2016-2022","Pla de salut mental de Barcelona 2016-2022","","text",""
"","Ajuntament de Barcelona","","Barcelona","2012. 2013. 2014. 2015","","2012-06-15","2012-06-15","","Versió per a l'aprovació per la Comissió de Govern 15-06-2012","","","","application/pdf","212 p.","9955","9527","","","Mandat 2011-2015","http://hdl.handle.net/11703/86308","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica","Sector públic","plans estratègics","Programa d'Actuació Municipal (PAM) 2012-2015 (Barcelona)","Programa d'Actuació Municipal 2012-2015 : Marc Estratègic de l'Ajuntament de Barcelona [Comissió de Govern]","","text",""
"","Consorci del Disseny Hub Barcelona","","Barcelona","2009. 2010. 2011. 2012. 2013","No","2009","2009","","","","","","application/pdf","2 documents","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/108707","cat","","","","","","","","","","","","","CC-BY","openAccess","","Consorci del Disseny Hub Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Museus. Activitats culturals. Política econòmica. Política fiscal. Consorci del Disseny Hub Barcelona","Cultura i oci. Economia","plans estratègics","Pla d'Actuació del Consorci del Disseny Hub Barcelona 2009-2013","Pla d'Actuació del Consorci del Disseny Hub Barcelona pel període 2009-2013 : proposta","Proposta de pla d’actuació del Consorci Disseny Hub Barcelona pel període 2009-2013","text",""
"","Consorci d'Educació de Barcelona. Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona. Districte 4. Les Corts","2014. 2015. 2016","","2015","2015","","","","","","application/pdf","32 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85155","cat","Consorci d'Educació de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Consorci d'Educació de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rendiment escolar. Educació. Fracàs escolar","Educació","plans estratègics","Pla d'Educació per a l'èxit escolar 2014-2016 Les Corts (Barcelona)","Pla d'educació per a l'èxit escolar 2014-2016 : Les Corts","","text",""
"","Barcelona Activa, S.A.. Àrea d'Economia, Empresa i Ocupació","","Barcelona","2012. 2013. 2014. 2015","","2013-01-23","2013","","","","","","application/pdf","15 p.","10555","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/83398","cat","","","","","","","","","","","","","CC-BY","openAccess","","Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament econòmic. Ciutats","Comerç","plans estratègics","Programa Formatiu de Suport al Comerç de Proximitat 2012-2015 (Barcelona)","Programa formatiu de suport al Comerç de Proximitat","","text",""
