"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"","","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Renau Bartumeus Arquitectes, S.L.P. | Bartumeus, Sara | Renau, Anna","","Barcelona. Districte 9. Sant Andreu | Barcelona. District 9. Sant Andreu | Barcelona. Distrito 9. Sant Andreu | Sagrera (Barcelona : Barri) | Sagrera (Barcelona : Neighborhood) | Sagrera (Barcelona : Barrio)","2017","","2018-09","2019-03","Sol·licitant de l’informe: Institut Municipal del Paisatge Urbà i la Qualitat de Vida","","","","","application/pdf","179 p.","application/pdf","","","organismes autònoms","","","http://hdl.handle.net/11703/117460","cat","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Institut Municipal del Paisatge Urbà i la Qualitat de Vida","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Arquitectura del paisatge urbà | Ordenació del territori | Patrimoni cultural | Urban landscape | Regional planning | Cultural heritage | Arquitectura del paisaje urbano | Ordenación del territorio | Patrimonio cultural","Urbanisme i infraestructures","informes altres","","Estudi de paisatge urbà del barri de la Sagrera : Districte de Sant Andreu","","text","info:eu-repo/semantics/report",""
"","","UGT | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2018-10","2018-10","","","","","","application/pdf","1 document (2 fitxers)","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/113841","cat","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Transformació digital | Transformación Digital | Digital transformation | Noves tecnologies de la informació i de la comunicació | Tecnología de la información | Information technology | Societat de la informació | Sociedad de la información | Information society | Innovacions tecnològiques | Innovaciones tecnológicas | Technological innovations | Aplicacions mòbils | Aplicaciones para móviles | Mobile apps | Treballadors | Trabajadores | Workers","Ocupació","informes altres","","Estudi per conèixer la nova realitat de treball en els models de negoci emergents en el marc de les tecnologies digitals i possibles actuacions de l’Administració pública local","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Departament de Transversalitat de Gènere | Consell Econòmic i Social de Barcelona | Centre d'Estudis Sociològics sobre la Vida Quotidiana i el Treball | Moreno, Sara | Sánchez Mira, Núria | Borràs Català, Vicent","","Barcelona | Barcelona | Barcelona","2015 | 2016","","2018","2018","L’anàlisi, valoracions i propostes han estat elaborades i són responsabilitat de les autores de l’estudi","","","","","application/pdf","121 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/109245","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dones | Mercat de treball | Women | Labor market | Mujeres | Mercado de trabajo","","informes altres","Estratègia contra la Feminització de la Pobresa i la Precarietat a Barcelona 2016-2024 (Barcelona)","Dones i treballs : una aproximació al mercat de treball de Barcelona des de la perspectiva de gènere","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Obert","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona","","Barcelona | Barcelona | Barcelona","","","2015","2015","","","","","","application/pdf","","application/pdf","17993","","","","","http://hdl.handle.net/11703/92327","cat","Agència de Salut Pública de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Serveis sanitaris | Public health | Health services | Salud pública | Servicios de salud","Salut","revistes i anuaris | informes altres","","La Salut a Barcelona. 2013 [versió lectura fàcil]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Grup d'Estudis de Psicologia de l'Esport (UAB) | Direcció d'Esports | Institut Municipal d'Educació (Barcelona)","","","","","2001","2001","Informe promogut per la Taula de l’Educació Física i Esport en edat escolar de la Ciutat de Barcelona i patrocinat per la Direcció d’Esports i l’Institut d’Educació de l’Ajuntament de Barcelona","","","","","application/pdf","19 p.","application/pdf","8127","","","","","http://hdl.handle.net/11703/88781","cat","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","","Esports escolars | School sports | Deportes escolares","Esport","informes altres","","Informe sobre comportaments d'espectadors en competicions escolars : campanya de difusió dels valors de l’activitat esportiva en edat escolar","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","Regidoria de Participació i Districtes | Gerència de Drets de Ciutadania, Participació i Transparència | Fundació Desenvolupament Comunitari (Barcelona)","","Barcelona. Districte 9. Sant Andreu | Barcelona. Distrito 9. Sant Andreu | Barcelona. District 9. Sant Andreu | Trinitat Vella (Barcelona : Barri) | Trinitat Vella (Barcelona : Barrio) | Trinitat Vella (Barcelona : Neighborhood)","","","2018","2018","","","","","","application/pdf","36 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115347","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Participación ciudadana | Citizen participation | Barris | Barrios | Neighborhood | Espais públics | Espacios públicos | Public spaces","Societat i benestar","informes altres","","Procés participatiu Repensem Trinitat Nord : Memòria final","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Urbaning Grup Ideem Innova, S.L. | Gerència Adjunta de Mobilitat i Infraestructures | Gerència d'Ecologia Urbana | González, Anna | Florensa Ferrando, Ignasi","Martori Gallisà, Oriol","Barcelona | Barcelona | Barcelona","2015 | 2016","","2017-02","2017-02","Les mencions de responsabilitat s'han basat en els crèdits facilitats per l'àrea responsable | Es basa en l'Ordenança de circulació de vianants i de vehicles [1998] : modificació [2015-02-27] [http://hdl.handle.net/11703/86848]","El present informe fa una estimació de l'impacte de les modificacions introduïdes a l'OCVV  de Barcelona que regula la circulació dels Vehicles de Mobilitat Personal (VMP)","","","","application/pdf","29 p.","application/pdf","","","","","","http://hdl.handle.net/11703/107991","cat","","","","http://hdl.handle.net/11703/86848","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Urbaning Grup Ideem Innova, S.L.","http://creativecommons.org/licenses/by/4.0/deed.ca","Vehicles de mobilitat personal | Circulació urbana | Vies ciclistes | Carrers | Avaluació | Personal mobility vehicles | Urban traffic | Bicycle trails | Streets | Evaluation | Vehículos de movilidad personal | Circulación urbana | Vías ciclistas | Calles | Evaluación","Transport","informes altres","Pla de Mobilitat Urbana de Barcelona 2013-2018","Estudi impacte economia col·laborativa en mobilitat : informe relatiu a l'impacte de les modificacions de l'OCVV relatives als VMP sobre el trànsit en carril bici i calçada","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell Econòmic i Social de Barcelona","","Barcelona | Barcelona | Barcelona","2013 | 2014","","2014","2014","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88814","","","","","application/pdf","11 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/117062","spa","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/88814","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Atur | Unemployment | Paro | Mercat de treball | Labor market | Mercado de trabajo | Indicadors econòmics | Economic indicators | Indicadores económicos | Indicadors socials | Social indicators | Indicadores sociales","Ocupació","informes altres","","El paro en los barrios de Barcelona","","text","info:eu-repo/semantics/report",""
"","","Gerència de Drets Socials | Institut d'Estudis Regionals i Metropolitans de Barcelona | Porcel, Sergio | Navarro-Varas, Lara","","Barcelona | Barcelona | Barcelona","2016 | 2017","","2018","2018-12","","","","","","application/pdf","50 p.","application/pdf","","","","","","http://hdl.handle.net/11703/114964","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pobresa | Pobreza | Poverty | Desigualtats econòmiques regionals | Disparidades regionales | Regional economic disparities","Societat i benestar","informes altres","","Pobresa i desigualtat social a la ciutat de Barcelona : la configuració de l'escenari post-crisi, 2016-17","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011-12","2011-12","A la portada: Capital humà","","","","","application/pdf","19 p.","application/pdf","9904","","societats mercantils","","","http://hdl.handle.net/11703/90028","cat","Barcelona Activa, S.A.","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Indústries culturals | Cultural industries | Industria cultural","Economia | Cultura i oci","informes altres","","Informe sectorial: indústries culturals","Indústries culturals: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011-10","2011-10","A la portada: Capital humà","","","","","application/pdf","16 p.","application/pdf","9142","","societats mercantils","","","http://hdl.handle.net/11703/90942","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/91183","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Transport terrestre | Ground transportation | Transporte terrestre","Transport","informes altres","","Informe sectorial: transport terrestre","Transport terrestre: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","Regidoria de Participació i Districtes | Gerència de Drets de Ciutadania, Participació i Transparència | Gerència d'Ecologia Urbana","","Barcelona. Districte 7. Horta-Guinardó | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. District 7. Horta-Guinardó | Clota (Barcelona : Barri) | Clota (Barcelona : Barrio) | Clota (Barcelona : Neighborhood)","","","2018-11","2018","","","","","","application/pdf","53 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115342","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Participación ciudadana | Citizen participation | Urbanisme | Urbanismo | City planning","Sector públic","informes altres","Pla General Metropolità de Barcelona","Modificació puntual de PGM a l'àmbit de la Clota Reordenació : Informe final de participació ciutadana","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell Municipal de Medi Ambient i Sostenibilitat (Barcelona)","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","2004-02-12","2004-02-12","","","","","","application/msword","4 p.","application/msword","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84936","cat","","http://hdl.handle.net/11703/84937","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política ambiental | Strategic planning | Environmental policy | Planificación estratégica | Política ambiental","Sector públic | Societat i benestar","informes altres","Programa d'Actuació Municipal (PAM) 2004-2007 (Barcelona) | Compromís Ciutadà per la Sostenibilitat 2012-2022 (Barcelona)","Programa d'Actuació Municipal (PAM) 2004-2007 : Recomanacions segons objectius del Compromís Ciutadà per la Sostenibilitat","Recomanacions del CMMAS AL PAM 04-07 segons objectius del Compromís Ciutadà per la Sostenibilitat","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gabinet Tècnic de Programació | Gerència Adjunta de Projectes Estratègics | Departament d'Estudis i Programació","","Barcelona | Barcelona | Barcelona","","","2015","2015-02","","","","","","application/pdf","22 p.","application/pdf","","","","","","http://hdl.handle.net/11703/91776","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament econòmic | Investigació | Economic development | Research | Desarrollo económico | Investigación","Economia","informes altres","","Recerca + desenvolupament a Barcelona 2014","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
